,2009,2010,2011,2012,2013,2014,2015,2016,AggregateTravelTime,BldgArea,MedianHI,NumBike,NumWalk,NumWorkers_Transit,Salecount,Saleprice,TotalPopRace,TotalWhite,Tract,Under18,Year,pctC,pctM,pctR,TRACTCE,Shape_Area
20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1796.45,15547558068835.59,136515.0,2.87,9.59,39.53,0.0945273631840796,2906400.0668934244,3827,89.89,700,0.45,2013,0.056841855058050825,0.2643569739532889,0.6787840952090827,700,1.8833336959000003e-05
21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1857.9,15569158064677.3,135096.0,3.96,7.36,40.74,0.06467661691542287,2716514.782608696,3765,82.9,700,0.45,2014,0.05676299505625825,0.26364917440604163,0.6795707784483417,700,1.8833336959000003e-05
22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1867.09,15556658952039.3,130966.0,3.67,5.96,39.99,0.06467661691542287,10291254.861111112,4029,82.35,700,0.56,2015,0.05680860170425805,0.26296709920480243,0.6802072333009539,700,1.8833336959000003e-05
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1815.21,15434200568534.52,133472.0,3.24,7.66,39.51,0.04975124378109453,2896386.3636363638,4110,81.39,700,0.64,2016,0.056949712310034324,0.2659927238950383,0.6770403626011645,700,1.8833336959000003e-05
24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1550.18,40350289895174.68,110333.0,0.77,6.17,39.83,0.2571428571428571,907907.261904762,4135,77.9,900,0.73,2009,0.9262634841178992,0.0,0.07373651588210081,900,1.7415379216e-05
25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1733.47,40593873451259.56,97385.0,1.08,8.2,41.98,0.028571428571428567,19485000.0,4266,79.14,900,0.71,2010,0.9267144271856718,0.0,0.07328557281432821,900,1.7415379216e-05
26,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1741.17,40593873451259.56,108427.0,0.89,7.58,42.95,0.08571428571428573,2965436.3636363638,4615,77.66,900,0.62,2011,0.9267144271856718,0.0,0.07328557281432821,900,1.7415379216e-05
27,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1790.45,41528472680947.68,105438.0,1.09,7.65,45.44,0.17142857142857146,5397571.443392505,4302,77.45,900,0.43,2012,0.9283637206818648,0.0,0.07163627931813503,900,1.7415379216e-05
28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1719.6,41673269987324.06,115952.0,0.85,5.1,46.1,0.17142857142857146,4229687.75,4351,76.12,900,0.46,2013,0.9286126270020852,0.0,0.07138737299791473,900,1.7415379216e-05
29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1799.18,42114351396159.69,117348.0,1.68,6.13,48.59,0.057142857142857134,2414724.404761905,4163,73.84,900,0.43,2014,0.9293602971432872,0.0,0.07063970285671277,900,1.7415379216e-05
30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1766.34,42055501112896.35,121083.0,1.44,5.55,48.8,0.08571428571428573,612964.53125,4162,70.98,900,0.42,2015,0.929261447613196,0.0,0.07073855238680389,900,1.7415379216e-05
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1860.07,43051896298139.16,124719.0,2.1,6.95,50.2,0.028571428571428567,2073191.3083333338,4245,71.28,900,0.44,2016,0.9306910924501554,0.0,0.06930890754984463,900,1.7415379216e-05
32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37743156832638.8,73750.0,0.0,0.0,14.94,0.027932960893854747,304519.69696969696,154,85.06,1100,0.02,2009,1.0,0.0,0.0,1100,1.7952724596e-05
33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40349429755158.04,73269.0,0.0,0.0,13.29,0.06145251396648045,322266.66666666674,158,80.38,1100,0.02,2010,0.9911648850565352,0.0,0.0,1100,1.7952724596e-05
34,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40349429755158.04,79231.0,0.0,0.0,41.82,0.0670391061452514,716937.7142857143,318,65.09,1100,0.01,2011,0.9911648850565352,0.0,0.0,1100,1.7952724596e-05
35,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40349429755158.04,102292.0,1.65,4.4,62.09,0.0782122905027933,293500.0,364,53.85,1100,0.01,2012,0.9911648850565352,0.0,0.0,1100,1.7952724596e-05
